product,isin,exchange,benchmark,region,esgRating,totalExpanseRation,translateView,linkKid
ISHARES EURO STX50,IE0008471009,Euronext Amsterdam & Tradegate,Euro STOXX 50,Europa,AA,0.1,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F0GBR04SHP&documenttype=299&market=1452&investmenttype=1
ISHARES CHINA 25,IE00B02KXK85,Euronext Amsterdam & Tradegate,FTSE China 25,China,A,0.74,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F0GBR0653I&documenttype=299&market=1452&investmenttype=1
ISHARES FTSE 100,IE0005042456,Euronext Amsterdam & Tradegate,FTSE 100-index,United Kingdom,AA,0.07,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F0GBR04IXF&documenttype=299&market=1452&investmenttype=1
ISHARES ESTOXX DIV,IE00B0M62S72,Euronext Amsterdam & Tradegate,STOXX Europe Select Dividend 30,Europa,AA,0.4,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F0GBR068CR&documenttype=299&market=1452&investmenttype=1
ISHARES AEX,IE00B0M62Y33,Euronext Amsterdam & Tradegate,AEX Total Net Return,Europa,AA,0.3,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F0GBR06FGL&documenttype=299&market=1452&investmenttype=1
ISHARES ASIA PACIFIC,IE00B14X4T88,Euronext Amsterdam & Tradegate,Dow Jones Asia/Pacific Select Dividend 30 Index,Azië,A,0.59,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F0000000EF&documenttype=299&market=1452&investmenttype=1
ISHARES PROP GLO,IE00B1FZS350,Euronext Amsterdam & Tradegate,FTSE EPRA/NAREIT Global Dividend + Index,Wereldwijd,A,0.59,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F0000006S6&documenttype=299&market=1452&investmenttype=1
ISHARES MSCI EUR A,IE00B4K48X80,Euronext Amsterdam & Tradegate,MSCI Europe Index,Europa,AA,0.12,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F00000457Z&documenttype=299&market=1452&investmenttype=1
ISHARES MSCI WOR A,IE00B4L5Y983,Euronext Amsterdam & Tradegate,MSCI World EUR,Wereldwijd,A,0.2,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F00000457Y&documenttype=299&market=1452&investmenttype=1
ISHARES MSCI EM A,IE00B4L5YC18,Euronext Amsterdam & Tradegate,MSCI Emerging Markets Index,Emerging markets,BBB,0.18,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F000004580&documenttype=299&market=1452&investmenttype=1
VanEck AEX,NL0009272749,Euronext Amsterdam & Tradegate,AEX TR-index,Europa,AA,0.3,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-europe/library/kiids/en_kiid-think-aex-ucits-etf-en.pdf
LYXOR ETF CAC 40,FR0007052782,Euronext Paris,CAC 40 Total Return Index,Europa,AA,0.25,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-cac-40-dr-ucits-etf-dist-distrib/fr0007052782/gbp?documentLanguage=English
Invesco EQQQ NASDAQ-100,IE0032077012,Euronext Paris & Tradegate,Nasdaq-100,Verenigde Staten,A,0.3,Bekijk,https://etf.invesco.com/sites/default/files/documents/IE0032077012_EN_GB.pdf
LYXOR ETF DAX,LU0252633754,Euronext Paris & Tradegate,DAX Index,Europa,AA,0.15,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-dax-dr-ucits-etf-acc-capi/lu0252633754/gbp?documentLanguage=English
iShares STOXX Global Select Dividend 100 (DE),DE000A0F5UH1,XETRA & Tradegate,STOXX Global Select Dividend 100 Index,Wereldwijd,A,0.46,Bekijk,https://www.ishares.com/ch/individual/en/literature/kiid/eu_priips-ishares-stoxx-global-select-dividend-100-ucits-etf-de-ch-de000a0f5uh1-en.pdf
iShares Diversified Commodity Swap (DE),DE000A0H0728,"XETRA, Euronext Amsterdam & Tradegate",Bloomberg Commodity Index Total Return,Wereldwijd,-,0.46,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F000000IOG&documenttype=299&market=1466&investmenttype=1
Lyxor New Energy UCITS ETF Dist,FR0010524777,XETRA & Tradegate,World Alternative Energy Total Return Index,Wereldwijd,A,0.6,Bekijk,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-new-energy-dr-ucits-etf-dist-distrib/fr0010524777/usd?documentLanguage=English
SPDR S&P US Dividend Aristocrats ETF,IE00B6YX5D40,XETRA & Tradegate,S&P High Yield Dividend Aristocrats Index,Verenigde Staten,A,0.35,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00BYTRR863&documentType=kiid&country=uk&language=en_gb&ticker=wnrg-na
SPDR S&P Euro Dividend Aristocrats ETF,IE00B5M1WJ87,XETRA & Tradegate,S&P Euro High Yield Dividend Aristocrats Index,Europa,AA,0.3,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00B5M1WJ87&documentType=kiid&country=uk&language=en_gb&ticker=spyw-gy
VanEck Global Real Estate UCITS ETF,NL0009690239,Euronext Amsterdam & Tradegate,Global Property Research (GPR) Global 100 Index,Wereldwijd,A,0.25,Bekijk,https://www.vaneck.com/globalassets/home/media/managedassets/etf-europe/library/kiids/en_kiid-think-tret-ucits-etf-en.pdf
HSBC MSCI WORLD,IE00B4X9L533,Euronext Paris & Tradegate,MSCI World USD,Wereldwijd,A,0.15,Bekijk,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/IE00B4X9L533/gb/en/kiid
HSBC MSCI CHINA,IE00B44T3H88,Euronext Paris & Tradegate,MSCI China Net,China,BBB,0.28,Bekijk,https://www.assetmanagement.hsbc.co.uk/api/v1/download/document/IE00B44T3H88/gb/en/kiid
VANECK SUST WORLD ETF,NL0010408704,Euronext Amsterdam & Tradegate,Solactive Sustainable World Equity Index GTR,Wereldwijd,AA,0.2,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F00000Q0ZZ&documenttype=299&market=1432&investmenttype=1
iShares Core S&P 500 UCITS ETF USD (Acc),IE00B5BMR087,XETRA & Tradegate,S&P 500,Verenigde Staten,A,0.07,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F00000IRY4&documenttype=299&market=1452&investmenttype=1
SPDR S&P Gbl Div Aristocrats UCITS ETF,IE00B9CQXS71,XETRA & Tradegate,S&P Global Dividend Aristocrats Quality Income Index,Wereldwijd,A,0.45,Bekijk,https://www.ssga.com/library-content/kiids?isin=IE00B9CQXS71&documentType=kiid&country=uk&language=en_gb&ticker=zprg-gy
VANGUARD FTSE AW,IE00B3RBWM25,Euronext Amsterdam & Tradegate,FTSE All World TR USD,Wereldwijd,A,0.22,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6016/gb
VANGUARD FTSE EM,IE00B3VVMM84,Euronext Amsterdam & Tradegate,FTSE Emerging Index,Emerging markets,BBB,0.22,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6015/gb
VANGUARD FTSE HDY,IE00B8GKDB10,Euronext Amsterdam & Tradegate,FTSE All-World High Dividend Yield Index,Wereldwijd,A,0.29,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6018/gb
VANGUARD FTSE EUR,IE00B945VV12,Euronext Amsterdam & Tradegate,FTSE Developed Europe Index,Europa,AA,0.1,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6022/gb
VANGUARD S&P500,IE00B3XXRP09,Euronext Amsterdam & Tradegate,S&P 500,Verenigde Staten,A,0.07,Bekijk,https://www.vanguardinvestor.co.uk/rs/gre/gls/1.3.0/documents/6017/gb
LYXOR ETF IBEX 35,FR0010251744,Bolsa de Madrid,IBEX 35,Europa,AA,0.3,view,https://www.lyxoretf.co.uk/en/instit/resources/documents/kiid/lyxor-ibex-35-dr-ucits-etf-dist-distrib/fr0010251744/eur?documentLanguage=English
ISHARES EMIM,IE00BKM4GZ66,Euronext Amsterdam & Tradegate,MSCI Emerging Markets Investable Market Index (IMI),Emerging markets,BBB,0.18,Bekijk,https://doc.morningstar.com/LatestDoc.aspx?clientid=fintdocmdl&key=5183cecc43fd005f&language=451&investmentid=F00000TJCR&documenttype=299&market=1452&investmenttype=1
