,ticker,isin,start,end,duration,equity_peak,equity_final,total_expense,BEP,current,unrealized_nominal_return,nominal_return,inflation_rate,real_return
0,EUEAA.XC,IE0008471009,2022-11-10 00:00:00+00:00,2024-09-19 00:00:00+01:00,678 days 23:00:00,13437.519836425781,13421.440490722656,11523,42.99626865671642,50.08000183105469,1898.4404907226562,0.16475227724747515,0.03927226096016664,0.1207383483625164
1,FXC.L,IE00B02KXK85,2009-01-02 00:00:00+00:00,2024-09-24 00:00:00+01:00,5743 days 23:00:00,101673.0,73092.0,94512,7876.0,6091.0,-21420.0,-0.22663788725241238,0.4165392178282716,-0.4540482162341777
2,ISF.L,IE0005042456,2009-01-02 00:00:00+00:00,2024-09-24 00:00:00+01:00,5743 days 23:00:00,121954.09627349304,119576.4482421875,94646,639.5,807.948974609375,24930.4482421875,0.26340730978792026,0.4165392178282716,-0.1081028369091831
3,IDVY.AS,IE00B0M62S72,2008-01-02 00:00:00+01:00,2024-09-24 00:00:00+02:00,6109 days 23:00:00,222434.68177986145,221408.2902545929,100701,8.241345445617482,18.1200008392334,120707.2902545929,1.19867022427377,0.43694592198581556,0.530099491312293
4,IAEX.AS,IE00B0M62Y33,2008-01-02 00:00:00+01:00,2024-09-24 00:00:00+02:00,6109 days 23:00:00,322936.0838263945,312133.1068496704,100701,29.265039232781167,90.70999908447266,211432.1068496704,2.0996028525006745,0.43694592198581556,1.1570768983547532
5,IAPD.SW,IE00B14X4T88,2009-01-05 00:00:00+01:00,2024-09-23 00:00:00+02:00,5739 days 23:00:00,211272.0,209907.5289554596,94689,10.75644666590935,23.844999313354492,115218.5289554596,1.2168100725053554,0.4165392178282716,0.5649478987980276
6,IWDP.SW,IE00B1FZS350,2009-01-05 00:00:00+01:00,2024-09-23 00:00:00+02:00,5739 days 23:00:00,184761.83560180667,182672.10274887085,94689,13.14029975020816,25.350000381469727,87983.10274887085,0.9291797647970815,0.4165392178282716,0.36189647312042017
7,IMAE.AS,IE00B4K48X80,2024-01-02 00:00:00+01:00,2024-09-24 00:00:00+02:00,265 days 23:00:00,4697.710159301758,4648.989929199219,4509,77.74137931034483,80.15499877929688,139.98992919921875,0.031046779596189567,0.035289421157684533,-0.004098024643921172
8,IWDA.L,IE00B4L5Y983,2009-09-25 00:00:00+01:00,2024-09-24 00:00:00+01:00,5478 days 00:00:00,228428.7162628174,219019.49687957764,90681,44.34278728606357,107.0999984741211,128338.49687957764,1.4152743891176502,0.39565170595199645,0.730571014829343
9,IEMA.L,IE00B4L5YC18,2009-09-25 00:00:00+01:00,2024-09-24 00:00:00+01:00,5478 days 00:00:00,121068.95179748535,120686.09865188599,90180,30.6213921901528,40.97999954223633,30506.098651885986,0.33828009150461286,0.39565170595199645,-0.04110740108202671
10,TDT.AS,NL0009272749,2009-12-07 00:00:00+01:00,2024-09-24 00:00:00+02:00,5404 days 23:00:00,272408.1174116607,263654.7097015381,89178,30.857439446366783,91.2300033569336,174476.7097015381,1.956499469617373,0.40381076106961117,1.1060527185051034
11,EQQQ.MI,IE0032077012,2008-01-02 00:00:00+01:00,2024-09-24 00:00:00+02:00,6109 days 23:00:00,660959.6672973634,621365.9307861328,100701,70.9661733615222,437.8900146484375,520664.9307861328,5.170404770420679,0.43694592198581556,3.294110638411059
12,LYY7.DE,LU0252633754,2008-01-02 00:00:00+01:00,2024-09-24 00:00:00+02:00,6109 days 23:00:00,196295.35931396484,195980.64068603516,100701,89.59163701067615,174.36000061035156,95279.64068603516,0.9461637986319417,0.43694592198581556,0.3543751152043373
13,ISPA.DE,DE000A0F5UH1,2009-09-25 00:00:00+02:00,2024-09-24 00:00:00+02:00,5478 days 00:00:00,242619.3062324524,242415.0687675476,90681,11.100624311421226,29.674999237060547,151734.0687675476,1.6732729983959993,0.39565170595199645,0.9154298934292615
14,EXXY.DE,DE000A0H0728,2008-01-02 00:00:00+01:00,2024-09-24 00:00:00+02:00,6109 days 23:00:00,127055.6728515625,109289.73067474365,100701,22.772727272727273,24.71500015258789,8588.730674743652,0.08528942785815088,0.43694592198581556,-0.244724932752992
15,NRJ.PA,FR0010524777,2008-01-02 00:00:00+01:00,2024-09-24 00:00:00+02:00,6109 days 23:00:00,236414.78410443733,153496.2694282532,100701,18.289320741009806,27.878000259399418,52795.2694282532,0.5242775089448288,0.43694592198581556,0.06077583409563769
16,UDVD.L,IE00B6YX5D40,2011-10-14 00:00:00+01:00,2024-09-24 00:00:00+01:00,4729 days 00:00:00,184199.55359649658,183893.13208770752,78156,33.159100551548576,78.0199966430664,105737.13208770752,1.3528984606134848,0.3434521342726895,0.7513824278430907
17,EUDV.L,IE00B5M1WJ87,2012-02-29 00:00:00+00:00,2024-09-24 00:00:00+01:00,4590 days 23:00:00,94851.45331573486,90288.14834213257,75651,17.407040957202025,20.774999618530273,14637.148342132568,0.19348254936659884,0.3430346970481615,-0.11135389726733147
18,TRET.AS,NL0009690239,2011-03-09 00:00:00+01:00,2024-09-24 00:00:00+02:00,4947 days 23:00:00,1208190.3369140625,157826.0927581787,81658,21.14944314944315,40.87699890136719,76168.09275817871,0.9327695113544137,0.3572325727444,0.42405181703401484
19,HMWD.L,IE00B4X9L533,2010-12-09 00:00:00+00:00,2024-09-24 00:00:00+01:00,5037 days 23:00:00,214391.9782409668,214161.4129638672,83166,14.42852185981957,37.154998779296875,130995.41296386719,1.575107771972527,0.3800553426990208,0.8659452938577823
